"","Manufacturer","Model Year","Regulatory Class","Vehicle Type","Production (000)","Production Share","2-Cycle MPG","Real-World MPG","Real-World MPG_City","Real-World MPG_Hwy","Real-World CO2 (g/mi)","Real-World CO2_City (g/mi)","Real-World CO2_Hwy (g/mi)","Weight (lbs)","Footprint (sq. ft.)","Engine Displacement","Horsepower (HP)","Acceleration (0-60 time in seconds)","HP/Engine Displacement","HP/Weight (lbs)","Ton-MPG (Real-World)","Drivetrain - Front","Drivetrain - 4WD","Drivetrain - Rear","Transmission - Manual","Transmission - Automatic","Transmission - Lockup","Transmission - CVT (Hybrid)","Transmission - Other","Fuel Delivery - Carbureted","Fuel Delivery - Gasoline Direct Injection (GDI)","Fuel Delivery - Port Fuel Injection","Fuel Delivery - Throttle Body Injection","Fuel Delivery - Other","Powertrain - Diesel","Powertrain - Electric Vehicle (EV)","Powertrain - Plug-in Hybrid Electric Vehicle (PHEV)","Powertrain - Fuel Cell Vehicle (FCV)","Powertrain - Other (incl. CNG)","Powertrain - Gasoline Hybrid","Powertrain - Gasoline","Turbocharged Engine","Stop/Start","Cylinder Deactivation","Multivalve Engine","Variable Valve Timing","Average Number of Gears","Transmission - CVT (Non-Hybrid)","4 or Fewer Gears","5 Gears","6 Gears","7 Gears","8 Gears","9 or More Gears"
"1","VW","1975","Car","Sedan/Wagon",335,0.033,26.46776,22.62002,19.99986,26.93251,392.88199,444.35303,329.97295,2371.321,0,95.2416,69.2233,0,0.725609,0.029036,26.91621,0.737,0,0.263,0.724,0.247,0.029,0,0,0.545,0,0.455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.693,0.031,0,0,0,0
"2","VW","1976","Car","Sedan/Wagon",249,0.02,27.50482,23.44384,21.36765,26.60315,379.07617,415.90902,334.05825,2342.713,0,99.9619,74.5031,0,0.74207,0.03172,27.57451,0.799,0,0.201,0.719,0.281,0,0,0,0.616,0,0.384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0
"3","VW","1977","Car","Sedan/Wagon",316,0.023,28.82529,24.61153,22.0158,28.75528,363.51563,406.24696,311.28845,2357.793,0,99.2679,74.4851,0,0.745889,0.03152,29.62386,0.892,0,0.108,0.807,0.193,0,0,0,0.278,0,0.653,0,0.068,0.068,0,0,0,0,0,0.932,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","VW","1978","Car","Sedan/Wagon",291,0.02,27.17355,23.18572,20.88171,26.79981,387.61003,430.18206,335.57756,2410.106,0,97.7933,75.5057,14.7582,0.765468,0.030981,28.89954,0.902,0,0.098,0.737,0.263,0,0,0,0.01,0,0.865,0,0.125,0.125,0,0,0,0,0,0.875,0,0,0,0,0,3.7,0,0.997,0.003,0,0,0,0
"5","VW","1979","Car","Sedan/Wagon",204,0.015,28.56105,24.36856,21.95768,28.14557,372.50239,412.90724,323.11869,2388.761,0,97.8531,72.7247,16.6791,0.735178,0.030097,30.52385,0.904,0,0.096,0.792,0.208,0,0,0,0,0,0.777,0,0.222,0.222,0,0,0,0,0,0.778,0,0,0,0,0,4,0,0.782,0.218,0,0,0,0
"6","VW","1980","Car","Sedan/Wagon",417,0.037,31.17374,26.6002,23.95834,30.74363,346.84244,384.50432,300.81126,2385.016,0,99.1339,70.0977,17.357,0.696572,0.029163,33.41047,0.96,0,0.04,0.84,0.16,0,0,0,0.036,0,0.602,0,0.362,0.362,0,0,0,0,0,0.638,0,0,0,0,0,4.1,0,0.761,0.239,0,0,0,0
"7","VW","1981","Car","Sedan/Wagon",283,0.027,34.21747,29.18998,26.36092,33.59685,320.2863,354.3707,278.62759,2402.644,0,105.8114,69.1271,17.2185,0.641917,0.028408,36.96367,0.974,0,0.026,0.851,0.149,0,0,0,0,0,0.528,0,0.472,0.472,0,0,0,0,0,0.528,0,0,0,0,0,4.3,0,0.557,0.443,0,0,0,0
"8","VW","1982","Car","Sedan/Wagon",222,0.023,32.84129,27.97779,25.67907,31.41488,326.47933,355.45411,291.06573,2478.345,0,109.0524,75.2272,17.6674,0.677799,0.029923,36.52712,0.954,0,0.046,0.78,0.22,0,0,0,0.03,0,0.69,0,0.28,0.28,0,0,0,0,0,0.72,0,0,0,0,0,4.3,0,0.458,0.542,0,0,0,0
"9","VW","1983","Car","Sedan/Wagon",148,0.015,30.04354,25.6088,23.33647,29.06824,351.50682,385.52812,309.92523,2526.414,0,117.6417,90.6985,14.4054,0.756396,0.035362,33.37854,0.865,0.004,0.132,0.776,0.224,0,0,0,0.041,0,0.83,0,0.129,0.129,0,0,0,0,0,0.871,0,0,0,0,0,4.4,0,0.375,0.625,0,0,0,0
"10","VW","1984","Car","Sedan/Wagon",273,0.02,28.43369,24.2326,22.14112,27.39547,369.89858,404.70502,327.35737,2630.546,0,119.2623,93.1546,14.3641,0.769362,0.035006,32.87812,0.902,0.011,0.086,0.661,0.339,0,0,0,0.038,0,0.859,0,0.103,0.103,0,0,0,0,0,0.897,0,0,0,0,0,4.2,0,0.436,0.564,0,0,0,0
